price,storage,ram,battery,screen_megapixels,screen_size,charger,rating,brand_Allview,brand_Apple,brand_Asus,brand_Blackview,brand_Cat,brand_Cmf,brand_Cubot,brand_Czay,brand_Doogee,brand_Energizer,brand_Evolveo,brand_Fairphone,brand_Fossibot,brand_Google,brand_Hmd,brand_Honor,brand_Hotwav,brand_Huawei,brand_Ihunt,brand_Infinix,brand_Maxcom,brand_Meizu,brand_Mobiola,brand_Motorola,brand_Myphone,brand_Nokia,brand_Nothing,brand_Nubia,brand_One,brand_Oppo,brand_Orange,brand_Oukitel,brand_Panasonic,brand_Poco,brand_Qubo,brand_Realme,brand_Redmagic,brand_Redmi,brand_Rugged,brand_Samsung,brand_Soyes,brand_Tcl,brand_Tecno,brand_Unihertz,brand_Vivo,brand_Xiaomi,brand_Zte
975.7,6.0,128.0,5000.0,2.53,6.7,0,4.53,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
795.99,4.0,256.0,6500.0,1.16,6.6,1,4.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1842.99,8.0,512.0,5300.0,3.2,6.55,0,4.86,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
363.0,3.0,64.0,5200.0,1.18,6.88,0,4.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
899.99,8.0,256.0,5000.0,2.59,6.7,0,4.65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
469.99,8.0,128.0,5200.0,2.59,6.72,0,4.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99.98,0.03125,0.03125,1000.0,0.02,1.77,1,4.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
388.99,3.0,64.0,5200.0,1.18,6.88,0,4.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
613.68,8.0,256.0,6000.0,2.59,6.72,0,4.79,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4827.9,12.0,256.0,5000.0,4.49,6.8,0,4.74,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
434.35,4.0,128.0,6000.0,1.15,6.74,0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
824.01,8.0,128.0,5000.0,2.53,6.7,0,4.64,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3748.99,12.0,256.0,4000.0,2.53,6.2,0,4.74,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2699.99,12.0,256.0,5500.0,3.55,6.83,0,4.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
949.0,8.0,256.0,5200.0,3.31,6.67,0,4.83,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
442.86,4.0,64.0,5000.0,1.15,6.7,0,4.52,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
5536.99,12.0,256.0,5000.0,4.49,6.9,0,4.66,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1999.0,12.0,512.0,6000.0,3.56,6.83,0,4.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
458.59,4.0,64.0,5000.0,1.15,6.7,0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
169.99,0.00390625,0.00390625,1020.0,0.08,2.4,0,4.24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1171.2,8.0,256.0,5110.0,3.31,6.67,0,4.54,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
512.05,4.0,128.0,5000.0,1.15,6.7,0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
